# src groups:          1
# obs groups:          3600
# TOPs:                3600
# plane waves:         2888
# multipole order: L = 38
x_by_lambda_0 y_by_lambda_0 rel_err_db
1.597312e+01 1.039798e+02 -215.904998
1.597312e+01 1.168952e+02 -212.082220
1.597312e+01 1.314147e+02 -212.091449
1.597312e+01 1.477378e+02 -215.078566
1.597312e+01 1.660883e+02 -230.808136
1.597312e+01 1.867181e+02 -219.742465
1.597312e+01 2.099104e+02 -216.281856
1.597312e+01 2.359833e+02 -213.623994
1.597312e+01 2.652948e+02 -212.615105
1.597312e+01 2.982471e+02 -212.985754
1.597312e+01 3.352924e+02 -213.667038
1.597312e+01 3.769391e+02 -216.096791
1.597312e+01 4.237587e+02 -217.919923
1.597312e+01 4.763938e+02 -221.722044
1.597312e+01 5.355667e+02 -226.824459
1.597312e+01 6.020894e+02 -220.539619
1.597312e+01 6.768750e+02 -224.747456
1.597312e+01 7.609497e+02 -224.791294
1.597312e+01 8.554673e+02 -220.615867
1.597312e+01 9.617249e+02 -215.609959
1.597312e+01 1.081181e+03 -215.587081
1.597312e+01 1.215474e+03 -217.164101
1.597312e+01 1.366448e+03 -217.072706
1.597312e+01 1.536175e+03 -214.334315
1.597312e+01 1.726983e+03 -216.156778
1.597312e+01 1.941492e+03 -215.349946
1.597312e+01 2.182645e+03 -213.824102
1.597312e+01 2.453751e+03 -213.811551
1.597312e+01 2.758532e+03 -213.901274
1.597312e+01 3.101169e+03 -213.323497
1.597312e+01 3.486365e+03 -214.158523
1.597312e+01 3.919407e+03 -213.923015
1.597312e+01 4.406236e+03 -213.981452
1.597312e+01 4.953535e+03 -214.609468
1.597312e+01 5.568814e+03 -213.483385
1.597312e+01 6.260517e+03 -213.661882
1.597312e+01 7.038136e+03 -211.677038
1.597312e+01 7.912343e+03 -212.742928
1.597312e+01 8.895135e+03 -212.659650
1.597312e+01 1.000000e+04 -214.160007

1.795714e+01 1.000000e+01 -225.244377
1.795714e+01 1.124210e+01 -233.894713
1.795714e+01 1.263848e+01 -220.458731
1.795714e+01 1.420831e+01 -217.260209
1.795714e+01 1.597312e+01 -217.002798
1.795714e+01 1.795714e+01 -223.903632
1.795714e+01 2.018760e+01 -214.338528
1.795714e+01 2.269511e+01 -217.343289
1.795714e+01 2.551407e+01 -213.416037
1.795714e+01 2.868317e+01 -212.310938
1.795714e+01 3.224591e+01 -209.790796
1.795714e+01 3.625117e+01 -205.819173
1.795714e+01 4.075393e+01 -205.829662
1.795714e+01 4.581598e+01 -201.299937
1.795714e+01 5.150678e+01 -198.833708
1.795714e+01 5.790444e+01 -201.130672
1.795714e+01 6.509675e+01 -207.255226
1.795714e+01 7.318242e+01 -206.734632
1.795714e+01 8.227241e+01 -207.694420
1.795714e+01 9.249147e+01 -216.281637
1.795714e+01 1.039798e+02 -215.752570
1.795714e+01 1.168952e+02 -212.125081
1.795714e+01 1.314147e+02 -212.189330
1.795714e+01 1.477378e+02 -215.161764
1.795714e+01 1.660883e+02 -230.590786
1.795714e+01 1.867181e+02 -219.712040
1.795714e+01 2.099104e+02 -216.307550
1.795714e+01 2.359833e+02 -213.655396
1.795714e+01 2.652948e+02 -212.620201
1.795714e+01 2.982471e+02 -212.920128
1.795714e+01 3.352924e+02 -213.667019
1.795714e+01 3.769391e+02 -216.225868
1.795714e+01 4.237587e+02 -217.939558
1.795714e+01 4.763938e+02 -221.270800
1.795714e+01 5.355667e+02 -227.104699
1.795714e+01 6.020894e+02 -220.487512
1.795714e+01 6.768750e+02 -225.331055
1.795714e+01 7.609497e+02 -224.573144
1.795714e+01 8.554673e+02 -220.336428
1.795714e+01 9.617249e+02 -215.896514
1.795714e+01 1.081181e+03 -215.488437
1.795714e+01 1.215474e+03 -217.169697
1.795714e+01 1.366448e+03 -217.404052
1.795714e+01 1.536175e+03 -214.309641
1.795714e+01 1.726983e+03 -215.316120
1.795714e+01 1.941492e+03 -214.586821
1.795714e+01 2.182645e+03 -213.531527
1.795714e+01 2.453751e+03 -213.433181
1.795714e+01 2.758532e+03 -214.029142
1.795714e+01 3.101169e+03 -213.180784
1.795714e+01 3.486365e+03 -214.506314
1.795714e+01 3.919407e+03 -213.875243
1.795714e+01 4.406236e+03 -213.463131
1.795714e+01 4.953535e+03 -214.641939
1.795714e+01 5.568814e+03 -212.729945
1.795714e+01 6.260517e+03 -213.318000
1.795714e+01 7.038136e+03 -213.040721
1.795714e+01 7.912343e+03 -213.014022
1.795714e+01 8.895135e+03 -211.406753
1.795714e+01 1.000000e+04 -210.632310

2.018760e+01 1.000000e+01 -218.735028
2.018760e+01 1.124210e+01 -219.044126
2.018760e+01 1.263848e+01 -224.618355
2.018760e+01 1.420831e+01 -223.008555
2.018760e+01 1.597312e+01 -217.790774
2.018760e+01 1.795714e+01 -214.524478
2.018760e+01 2.018760e+01 -217.658139
2.018760e+01 2.269511e+01 -214.182185
2.018760e+01 2.551407e+01 -211.826353
2.018760e+01 2.868317e+01 -212.173467
2.018760e+01 3.224591e+01 -206.904882
2.018760e+01 3.625117e+01 -205.394130
2.018760e+01 4.075393e+01 -204.706347
2.018760e+01 4.581598e+01 -200.004998
2.018760e+01 5.150678e+01 -199.255764
2.018760e+01 5.790444e+01 -202.036347
2.018760e+01 6.509675e+01 -206.368034
2.018760e+01 7.318242e+01 -206.305978
2.018760e+01 8.227241e+01 -208.529151
2.018760e+01 9.249147e+01 -214.638119
2.018760e+01 1.039798e+02 -218.501802
2.018760e+01 1.168952e+02 -212.044666
2.018760e+01 1.314147e+02 -211.605235
2.018760e+01 1.477378e+02 -217.789582
2.018760e+01 1.660883e+02 -230.815577
2.018760e+01 1.867181e+02 -217.981491
2.018760e+01 2.099104e+02 -216.309429
2.018760e+01 2.359833e+02 -213.813429
2.018760e+01 2.652948e+02 -212.666595
2.018760e+01 2.982471e+02 -213.437576
2.018760e+01 3.352924e+02 -214.057428
2.018760e+01 3.769391e+02 -215.452159
2.018760e+01 4.237587e+02 -218.946236
2.018760e+01 4.763938e+02 -220.310548
2.018760e+01 5.355667e+02 -229.902784
2.018760e+01 6.020894e+02 -221.492519
2.018760e+01 6.768750e+02 -223.354198
2.018760e+01 7.609497e+02 -225.745552
2.018760e+01 8.554673e+02 -221.647336
2.018760e+01 9.617249e+02 -215.658803
2.018760e+01 1.081181e+03 -215.570775
2.018760e+01 1.215474e+03 -217.530870
2.018760e+01 1.366448e+03 -217.840849
2.018760e+01 1.536175e+03 -214.237826
2.018760e+01 1.726983e+03 -216.070635
2.018760e+01 1.941492e+03 -214.917126
2.018760e+01 2.182645e+03 -213.656950
2.018760e+01 2.453751e+03 -213.792373
2.018760e+01 2.758532e+03 -214.268467
2.018760e+01 3.101169e+03 -213.531968
2.018760e+01 3.486365e+03 -214.840688
2.018760e+01 3.919407e+03 -214.862399
2.018760e+01 4.406236e+03 -213.257478
2.018760e+01 4.953535e+03 -213.917316
2.018760e+01 5.568814e+03 -213.680619
2.018760e+01 6.260517e+03 -212.033209
2.018760e+01 7.038136e+03 -212.760028
2.018760e+01 7.912343e+03 -211.943956
2.018760e+01 8.895135e+03 -214.181008
2.018760e+01 1.000000e+04 -210.584007

2.269511e+01 1.000000e+01 -223.182608
2.269511e+01 1.124210e+01 -222.399917
2.269511e+01 1.263848e+01 -218.869701
2.269511e+01 1.420831e+01 -215.433378
2.269511e+01 1.597312e+01 -216.143398
2.269511e+01 1.795714e+01 -217.630521
2.269511e+01 2.018760e+01 -214.187013
2.269511e+01 2.269511e+01 -211.535698
2.269511e+01 2.551407e+01 -211.454712
2.269511e+01 2.868317e+01 -211.463401
2.269511e+01 3.224591e+01 -206.174220
2.269511e+01 3.625117e+01 -206.010543
2.269511e+01 4.075393e+01 -203.716748
2.269511e+01 4.581598e+01 -199.722063
2.269511e+01 5.150678e+01 -199.334377
2.269511e+01 5.790444e+01 -202.302000
2.269511e+01 6.509675e+01 -207.377088
2.269511e+01 7.318242e+01 -206.722233
2.269511e+01 8.227241e+01 -208.360516
2.269511e+01 9.249147e+01 -216.443680
2.269511e+01 1.039798e+02 -215.966929
2.269511e+01 1.168952e+02 -212.197544
2.269511e+01 1.314147e+02 -212.247926
2.269511e+01 1.477378e+02 -216.234541
2.269511e+01 1.660883e+02 -231.429287
2.269511e+01 1.867181e+02 -218.969601
2.269511e+01 2.099104e+02 -216.304048
2.269511e+01 2.359833e+02 -213.649714
2.269511e+01 2.652948e+02 -212.700836
2.269511e+01 2.982471e+02 -213.146579
2.269511e+01 3.352924e+02 -213.817758
2.269511e+01 3.769391e+02 -216.163166
2.269511e+01 4.237587e+02 -218.609669
2.269511e+01 4.763938e+02 -221.639826
2.269511e+01 5.355667e+02 -226.902755
2.269511e+01 6.020894e+02 -220.819311
2.269511e+01 6.768750e+02 -225.695926
2.269511e+01 7.609497e+02 -224.402218
2.269511e+01 8.554673e+02 -220.762895
2.269511e+01 9.617249e+02 -215.885353
2.269511e+01 1.081181e+03 -215.251244
2.269511e+01 1.215474e+03 -217.160971
2.269511e+01 1.366448e+03 -217.712541
2.269511e+01 1.536175e+03 -214.178437
2.269511e+01 1.726983e+03 -215.831123
2.269511e+01 1.941492e+03 -215.258473
2.269511e+01 2.182645e+03 -213.521841
2.269511e+01 2.453751e+03 -213.691905
2.269511e+01 2.758532e+03 -214.350505
2.269511e+01 3.101169e+03 -213.341565
2.269511e+01 3.486365e+03 -215.601320
2.269511e+01 3.919407e+03 -214.447399
2.269511e+01 4.406236e+03 -214.034777
2.269511e+01 4.953535e+03 -213.984372
2.269511e+01 5.568814e+03 -212.759453
2.269511e+01 6.260517e+03 -214.826331
2.269511e+01 7.038136e+03 -213.199003
2.269511e+01 7.912343e+03 -212.768419
2.269511e+01 8.895135e+03 -212.902710
2.269511e+01 1.000000e+04 -213.742021

2.551407e+01 1.000000e+01 -220.419334
2.551407e+01 1.124210e+01 -219.058623
2.551407e+01 1.263848e+01 -217.586195
2.551407e+01 1.420831e+01 -218.804986
2.551407e+01 1.597312e+01 -218.011743
2.551407e+01 1.795714e+01 -213.446239
2.551407e+01 2.018760e+01 -211.965347
2.551407e+01 2.269511e+01 -211.545440
2.551407e+01 2.551407e+01 -211.082463
2.551407e+01 2.868317e+01 -206.873558
2.551407e+01 3.224591e+01 -205.850088
2.551407e+01 3.625117e+01 -205.630785
2.551407e+01 4.075393e+01 -201.778917
2.551407e+01 4.581598e+01 -198.966917
2.551407e+01 5.150678e+01 -199.901945
2.551407e+01 5.790444e+01 -203.420822
2.551407e+01 6.509675e+01 -207.069877
2.551407e+01 7.318242e+01 -206.765992
2.551407e+01 8.227241e+01 -209.026233
2.551407e+01 9.249147e+01 -216.367248
2.551407e+01 1.039798e+02 -216.601657
2.551407e+01 1.168952e+02 -212.211564
2.551407e+01 1.314147e+02 -212.213111
2.551407e+01 1.477378e+02 -217.378065
2.551407e+01 1.660883e+02 -230.472975
2.551407e+01 1.867181e+02 -218.379086
2.551407e+01 2.099104e+02 -216.420306
2.551407e+01 2.359833e+02 -213.784695
2.551407e+01 2.652948e+02 -212.748431
2.551407e+01 2.982471e+02 -213.320396
2.551407e+01 3.352924e+02 -213.918582
2.551407e+01 3.769391e+02 -215.827285
2.551407e+01 4.237587e+02 -219.165603
2.551407e+01 4.763938e+02 -221.546903
2.551407e+01 5.355667e+02 -227.641697
2.551407e+01 6.020894e+02 -220.912320
2.551407e+01 6.768750e+02 -225.696799
2.551407e+01 7.609497e+02 -225.034199
2.551407e+01 8.554673e+02 -221.335211
2.551407e+01 9.617249e+02 -215.712559
2.551407e+01 1.081181e+03 -215.301764
2.551407e+01 1.215474e+03 -217.398685
2.551407e+01 1.366448e+03 -217.174101
2.551407e+01 1.536175e+03 -214.201355
2.551407e+01 1.726983e+03 -215.805511
2.551407e+01 1.941492e+03 -215.164473
2.551407e+01 2.182645e+03 -213.687252
2.551407e+01 2.453751e+03 -213.990597
2.551407e+01 2.758532e+03 -213.867890
2.551407e+01 3.101169e+03 -213.223546
2.551407e+01 3.486365e+03 -215.369928
2.551407e+01 3.919407e+03 -214.613787
2.551407e+01 4.406236e+03 -213.583223
2.551407e+01 4.953535e+03 -213.541748
2.551407e+01 5.568814e+03 -212.385573
2.551407e+01 6.260517e+03 -212.761774
2.551407e+01 7.038136e+03 -211.111747
2.551407e+01 7.912343e+03 -214.096965
2.551407e+01 8.895135e+03 -212.312716
2.551407e+01 1.000000e+04 -214.342164

2.868317e+01 1.000000e+01 -218.001010
2.868317e+01 1.124210e+01 -216.523818
2.868317e+01 1.263848e+01 -214.681953
2.868317e+01 1.420831e+01 -212.490717
2.868317e+01 1.597312e+01 -212.816437
2.868317e+01 1.795714e+01 -212.988738
2.868317e+01 2.018760e+01 -212.421909
2.868317e+01 2.269511e+01 -211.491287
2.868317e+01 2.551407e+01 -206.884043
2.868317e+01 2.868317e+01 -205.337795
2.868317e+01 3.224591e+01 -205.743992
2.868317e+01 3.625117e+01 -203.715113
2.868317e+01 4.075393e+01 -200.291113
2.868317e+01 4.581598e+01 -198.958317
2.868317e+01 5.150678e+01 -200.609972
2.868317e+01 5.790444e+01 -204.311222
2.868317e+01 6.509675e+01 -207.593718
2.868317e+01 7.318242e+01 -207.081629
2.868317e+01 8.227241e+01 -209.438985
2.868317e+01 9.249147e+01 -218.051046
2.868317e+01 1.039798e+02 -215.681664
2.868317e+01 1.168952e+02 -212.352639
2.868317e+01 1.314147e+02 -212.692102
2.868317e+01 1.477378e+02 -216.835775
2.868317e+01 1.660883e+02 -230.190987
2.868317e+01 1.867181e+02 -219.062553
2.868317e+01 2.099104e+02 -216.338034
2.868317e+01 2.359833e+02 -213.789025
2.868317e+01 2.652948e+02 -212.728221
2.868317e+01 2.982471e+02 -213.200810
2.868317e+01 3.352924e+02 -213.759081
2.868317e+01 3.769391e+02 -216.221440
2.868317e+01 4.237587e+02 -218.623048
2.868317e+01 4.763938e+02 -221.778080
2.868317e+01 5.355667e+02 -227.190256
2.868317e+01 6.020894e+02 -221.025816
2.868317e+01 6.768750e+02 -225.822150
2.868317e+01 7.609497e+02 -224.598055
2.868317e+01 8.554673e+02 -220.286195
2.868317e+01 9.617249e+02 -215.826017
2.868317e+01 1.081181e+03 -215.545047
2.868317e+01 1.215474e+03 -217.417891
2.868317e+01 1.366448e+03 -217.281773
2.868317e+01 1.536175e+03 -214.351209
2.868317e+01 1.726983e+03 -216.092775
2.868317e+01 1.941492e+03 -214.683053
2.868317e+01 2.182645e+03 -213.021603
2.868317e+01 2.453751e+03 -213.886220
2.868317e+01 2.758532e+03 -214.032249
2.868317e+01 3.101169e+03 -213.492601
2.868317e+01 3.486365e+03 -214.341394
2.868317e+01 3.919407e+03 -215.123650
2.868317e+01 4.406236e+03 -214.277552
2.868317e+01 4.953535e+03 -213.880862
2.868317e+01 5.568814e+03 -213.524555
2.868317e+01 6.260517e+03 -214.232428
2.868317e+01 7.038136e+03 -214.200132
2.868317e+01 7.912343e+03 -212.992852
2.868317e+01 8.895135e+03 -212.179869
2.868317e+01 1.000000e+04 -213.760327

3.224591e+01 1.000000e+01 -216.225609
3.224591e+01 1.124210e+01 -216.655546
3.224591e+01 1.263848e+01 -215.883459
3.224591e+01 1.420831e+01 -215.002046
3.224591e+01 1.597312e+01 -212.102900
3.224591e+01 1.795714e+01 -210.157095
3.224591e+01 2.018760e+01 -207.105377
3.224591e+01 2.269511e+01 -206.417217
3.224591e+01 2.551407e+01 -206.007646
3.224591e+01 2.868317e+01 -205.804473
3.224591e+01 3.224591e+01 -204.084525
3.224591e+01 3.625117e+01 -200.798937
3.224591e+01 4.075393e+01 -199.313630
3.224591e+01 4.581598e+01 -199.260301
3.224591e+01 5.150678e+01 -201.947794
3.224591e+01 5.790444e+01 -206.670180
3.224591e+01 6.509675e+01 -206.937371
3.224591e+01 7.318242e+01 -207.575125
3.224591e+01 8.227241e+01 -211.596961
3.224591e+01 9.249147e+01 -218.266297
3.224591e+01 1.039798e+02 -217.381557
3.224591e+01 1.168952e+02 -212.257533
3.224591e+01 1.314147e+02 -212.371415
3.224591e+01 1.477378e+02 -220.043603
3.224591e+01 1.660883e+02 -228.396103
