x_by_lambda_0 z_by_lambda_0 g_tm_full_log g_tm_refl_re g_te_full_log g_te_refl_re
1.449275e-01 5.985507e+00 -6.732587e+01 -1.023126e-04 -6.732598e+01 -1.018405e-04
1.449275e-01 6.130435e+00 -6.759126e+01 -6.182374e-05 -6.759145e+01 -6.559306e-05
1.449275e-01 6.275362e+00 -6.784909e+01 2.384534e-05 -6.784938e+01 1.897105e-05
1.449275e-01 6.420290e+00 -6.809978e+01 8.810374e-05 -6.810016e+01 8.583985e-05
1.449275e-01 6.565217e+00 -6.834371e+01 8.314700e-05 -6.834417e+01 8.498512e-05
1.449275e-01 6.710145e+00 -6.858123e+01 1.535742e-05 -6.858176e+01 1.962425e-05
1.449275e-01 6.855072e+00 -6.881266e+01 -6.157070e-05 -6.881325e+01 -5.823561e-05
1.449275e-01 7.000000e+00 -6.903829e+01 -8.900361e-05 -6.903895e+01 -8.902488e-05

2.898551e-01 -3.000000e+00 -7.148707e+01 -1.131010e-05 -7.149236e+01 -2.396411e-05
2.898551e-01 -2.855072e+00 -7.080919e+01 -1.058016e-04 -7.081428e+01 -1.022825e-04
2.898551e-01 -2.710145e+00 -7.012288e+01 1.382993e-05 -7.012777e+01 2.954370e-05
2.898551e-01 -2.565217e+00 -6.942760e+01 1.240760e-04 -6.943228e+01 1.194918e-04
2.898551e-01 -2.420290e+00 -6.872275e+01 -1.676410e-05 -6.872722e+01 -3.644202e-05
2.898551e-01 -2.275362e+00 -6.800768e+01 -1.461954e-04 -6.801195e+01 -1.402045e-04
2.898551e-01 -2.130435e+00 -6.728167e+01 2.012400e-05 -6.728574e+01 4.500600e-05
2.898551e-01 -1.985507e+00 -6.654391e+01 1.731991e-04 -6.654782e+01 1.653399e-04
2.898551e-01 -1.840580e+00 -6.579352e+01 -2.386889e-05 -6.579730e+01 -5.568845e-05
2.898551e-01 -1.695652e+00 -6.502951e+01 -2.064936e-04 -6.503323e+01 -1.961414e-04
2.898551e-01 -1.550725e+00 -6.425078e+01 2.784814e-05 -6.425453e+01 6.908484e-05
2.898551e-01 -1.405797e+00 -6.345609e+01 2.480187e-04 -6.346001e+01 2.343295e-04
2.898551e-01 -1.260870e+00 -6.264405e+01 -3.168466e-05 -6.264835e+01 -8.598199e-05
2.898551e-01 -1.115942e+00 -6.181312e+01 -3.005020e-04 -6.181808e+01 -2.823529e-04
2.898551e-01 -9.710145e-01 -6.096154e+01 3.453289e-05 -6.096758e+01 1.074178e-04
2.898551e-01 -8.260870e-01 -6.008733e+01 3.678497e-04 -6.009507e+01 3.438138e-04
2.898551e-01 -6.811594e-01 -5.918831e+01 -3.455830e-05 -5.919863e+01 -1.347367e-04
2.898551e-01 -5.362319e-01 -5.826202e+01 -4.557220e-04 -5.827622e+01 -4.242290e-04
2.898551e-01 -3.913043e-01 -5.730579e+01 2.777255e-05 -5.732582e+01 1.695673e-04
2.898551e-01 -2.463768e-01 -5.631681e+01 5.722219e-04 -5.634561e+01 5.324608e-04
2.898551e-01 -1.014493e-01 -5.529230e+01 -5.349748e-06 -5.533444e+01 -2.134340e-04
2.898551e-01 4.347826e-02 -5.312076e+01 -4.971292e-04 -5.372868e+01 -6.151484e-04
2.898551e-01 1.884058e-01 -4.895990e+01 1.895543e-05 -4.924804e+01 -1.554775e-04
2.898551e-01 3.333333e-01 -4.808341e+01 4.171541e-04 -4.786607e+01 3.132798e-04
2.898551e-01 4.782609e-01 -4.793919e+01 4.689253e-04 -4.779838e+01 4.764339e-04
2.898551e-01 6.231884e-01 -4.525258e+01 1.994834e-04 -4.539607e+01 2.785218e-04
2.898551e-01 7.681159e-01 -4.246358e+01 -1.622514e-04 -4.250492e+01 -8.385975e-05
2.898551e-01 9.130435e-01 -4.092969e+01 -3.590669e-04 -4.088023e+01 -3.326944e-04
2.898551e-01 1.057971e+00 -4.104253e+01 -2.792481e-04 -4.098438e+01 -3.091107e-04
2.898551e-01 1.202899e+00 -4.278486e+01 -1.386407e-05 -4.273780e+01 -6.630460e-05
2.898551e-01 1.347826e+00 -4.505682e+01 2.290679e-04 -4.501882e+01 1.947888e-04
2.898551e-01 1.492754e+00 -4.719442e+01 2.810498e-04 -4.716305e+01 2.844656e-04
2.898551e-01 1.637681e+00 -4.906014e+01 1.261075e-04 -4.903388e+01 1.571381e-04
2.898551e-01 1.782609e+00 -5.067385e+01 -1.036465e-04 -5.065168e+01 -7.190553e-05
2.898551e-01 1.927536e+00 -5.208062e+01 -2.359142e-04 -5.206181e+01 -2.257282e-04
2.898551e-01 2.072464e+00 -5.332108e+01 -1.845220e-04 -5.330507e+01 -1.991933e-04
2.898551e-01 2.217391e+00 -5.442722e+01 -3.271995e-06 -5.441357e+01 -2.823235e-05
2.898551e-01 2.362319e+00 -5.542355e+01 1.648511e-04 -5.541189e+01 1.489336e-04
2.898551e-01 2.507246e+00 -5.632884e+01 1.983117e-04 -5.631889e+01 2.013133e-04
