x_by_lambda_0 z_by_lambda_0 rel_err_db rel_time
1.000000000000e-01 5.790443980602e+00 -2.859644285719e+02 2.652463097e+00
1.000000000000e-01 6.768750009459e+00 -2.923733582941e+02 2.618799970e+00
1.000000000000e-01 7.912342618981e+00 -2.829761548163e+02 2.599934124e+00
1.000000000000e-01 9.249147277217e+00 -2.957402877146e+02 3.270270658e+00
1.000000000000e-01 1.081180751077e+01 -2.878202074705e+02 3.924831081e+00
1.000000000000e-01 1.263848202934e+01 -2.848594750909e+02 4.013434369e+00
1.000000000000e-01 1.477377652599e+01 -3.028142653775e+02 3.991990512e+00
1.000000000000e-01 1.726983290659e+01 -2.808966616417e+02 3.988150070e+00
1.000000000000e-01 2.018760254679e+01 -2.855517822389e+02 4.013015757e+00
1.000000000000e-01 2.359833466782e+01 -2.744690942181e+02 4.027217129e+00
1.000000000000e-01 2.758531617629e+01 -2.736386978116e+02 4.630033815e+00
1.000000000000e-01 3.224590545296e+01 -2.733927455071e+02 4.803595094e+00
1.000000000000e-01 3.769390975388e+01 -2.794918773278e+02 4.714002114e+00
1.000000000000e-01 4.406236427774e+01 -2.751022720178e+02 4.652470856e+00
1.000000000000e-01 5.150678076168e+01 -2.742799501133e+02 4.688278253e+00
1.000000000000e-01 6.020894493336e+01 -2.637265019664e+02 4.738461604e+00
1.000000000000e-01 7.038135554932e+01 -2.691145674257e+02 5.393324250e+00
1.000000000000e-01 8.227241341700e+01 -2.726146467912e+02 5.959322897e+00
1.000000000000e-01 9.617248711153e+01 -2.628471449764e+02 5.984672761e+00
1.000000000000e-01 1.124210035062e+02 -2.585651550816e+02 6.041540320e+00
1.000000000000e-01 1.314147362612e+02 -2.559155118706e+02 6.010838123e+00
1.000000000000e-01 1.536174946672e+02 -2.660617201866e+02 6.634881020e+00
1.000000000000e-01 1.795714494372e+02 -2.692353363991e+02 7.368882606e+00
1.000000000000e-01 2.099103720109e+02 -2.623723885834e+02 8.002507790e+00
1.000000000000e-01 2.453751106640e+02 -2.511404522140e+02 7.974488355e+00
1.000000000000e-01 2.868316813342e+02 -2.590601726167e+02 7.993981536e+00
1.000000000000e-01 3.352924149250e+02 -2.332789999776e+02 7.436028458e+00
1.000000000000e-01 3.919406774847e+02 -2.463072783826e+02 7.400756837e+00
1.000000000000e-01 4.581597669054e+02 -2.418434595628e+02 7.331550128e+00
1.000000000000e-01 5.355666917707e+02 -2.408796675961e+02 8.601120514e+00
1.000000000000e-01 6.260516572015e+02 -2.443547341359e+02 9.977029122e+00
1.000000000000e-01 7.318242219076e+02 -2.461785735197e+02 9.926141619e+00
1.000000000000e-01 8.554672535566e+02 -2.390295787572e+02 9.912759625e+00
1.000000000000e-01 1.000000000000e+03 -2.404418704795e+02 9.829201402e+00

1.168951816499e-01 1.000000000000e-01 -2.855830270832e+02 1.144163025e+00
1.168951816499e-01 1.168951816499e-01 -3.035461437363e+02 1.145929031e+00
1.168951816499e-01 1.366448349295e-01 -3.031405336536e+02 1.134836016e+00
1.168951816499e-01 1.597312280060e-01 -3.161316259339e+02 1.758093676e+00
1.168951816499e-01 1.867181091292e-01 -3.152021732958e+02 1.759243209e+00
1.168951816499e-01 2.182644728397e-01 -3.051299043782e+02 1.773344874e+00
1.168951816499e-01 2.551406520031e-01 -3.151401839847e+02 1.756137956e+00
1.168951816499e-01 2.982471286217e-01 -3.049602655737e+02 1.762570376e+00
1.168951816499e-01 3.486365227678e-01 -3.127931597741e+02 1.635099055e+00
1.168951816499e-01 4.075392965872e-01 -inf 1.658339567e+00
1.168951816499e-01 4.763938010401e-01 -3.145407214611e+02 1.737069982e+00
1.168951816499e-01 5.568813990945e-01 -3.220110905133e+02 1.666295904e+00
1.168951816499e-01 6.509675230458e-01 -3.146839911166e+02 1.677447113e+00
1.168951816499e-01 7.609496685460e-01 -3.033645948954e+02 1.521362385e+00
1.168951816499e-01 8.895134973108e-01 -3.010664966114e+02 1.545023448e+00
1.168951816499e-01 1.039798418481e+00 -3.064824146157e+02 2.181766301e+00
1.168951816499e-01 1.215474250076e+00 -inf 2.161889812e+00
1.168951816499e-01 1.420830832534e+00 -2.698421299967e+02 2.028004693e+00
1.168951816499e-01 1.660882782628e+00 -3.046833557641e+02 2.088090789e+00
