x_by_lambda_0 z_by_lambda_0 g1_1 g1_2 g1_3 g2_1 g2_2 g2_3
-4.661017e+00 1.949153e+00 1.899202e-02 5.193001e-02 1.864654e-01 -1.175435e-02 -4.622271e-03 -1.303649e-03
-4.661017e+00 2.118644e+00 1.466104e-02 4.517723e-02 2.091842e-01 -8.847451e-03 -3.522740e-03 -1.106516e-03
-4.661017e+00 2.288136e+00 7.094393e-03 2.634521e-02 1.779709e-01 -4.261535e-03 -1.925280e-03 -7.512583e-04
-4.661017e+00 2.457627e+00 -2.527358e-03 -3.220041e-03 7.497856e-02 1.208176e-03 -1.397949e-04 -3.296680e-04
-4.661017e+00 2.627119e+00 -1.202196e-02 -3.755642e-02 -9.456069e-02 6.323390e-03 1.445682e-03 6.058970e-05
-4.661017e+00 2.796610e+00 -1.863881e-02 -6.641067e-02 -2.898684e-01 9.683575e-03 2.458969e-03 3.364261e-04
-4.661017e+00 2.966102e+00 -1.992324e-02 -7.790180e-02 -4.353316e-01 1.017687e-02 2.658152e-03 4.492937e-04
-4.661017e+00 3.135593e+00 -1.479214e-02 -6.336417e-02 -4.432546e-01 7.467471e-03 2.027909e-03 3.978519e-04
-4.661017e+00 3.305085e+00 -4.378529e-03 -2.277593e-02 -2.578661e-01 2.307397e-03 8.134169e-04 2.276036e-04
-4.661017e+00 3.474576e+00 7.876235e-03 3.207031e-02 9.617625e-02 -3.537915e-03 -5.388106e-04 1.555834e-05
-4.661017e+00 3.644068e+00 1.721012e-02 7.955629e-02 4.913414e-01 -7.840359e-03 -1.529961e-03 -1.564302e-04
-4.661017e+00 3.813559e+00 1.945800e-02 9.642720e-02 7.302856e-01 -8.805218e-03 -1.801107e-03 -2.307159e-04
-4.661017e+00 3.983051e+00 1.316067e-02 6.972902e-02 6.393719e-01 -5.950826e-03 -1.289122e-03 -1.939893e-04
-4.661017e+00 4.152542e+00 7.613855e-04 6.593482e-03 1.857469e-01 -5.086826e-04 -2.668503e-04 -7.959397e-05
-4.661017e+00 4.322034e+00 -1.202589e-02 -6.493156e-02 -4.538844e-01 4.979668e-03 7.693607e-04 4.982067e-05
-4.661017e+00 4.491525e+00 -1.876443e-02 -1.073800e-01 -9.409211e-01 7.816207e-03 1.328794e-03 1.321805e-04
-4.661017e+00 4.661017e+00 -1.570224e-02 -9.399758e-02 -9.489265e-01 6.547209e-03 1.167804e-03 1.347060e-04
-4.661017e+00 4.830508e+00 -4.185697e-03 -2.684197e-02 -3.836023e-01 1.851590e-03 4.167818e-04 6.750668e-05
-4.661017e+00 5.000000e+00 9.576178e-03 5.953425e-02 4.953199e-01 -3.683890e-03 -4.869045e-04 -2.484674e-05

-4.491525e+00 -5.000000e+00 -1.433532e-03 -3.246999e-04 -5.164040e-05 -1.433532e-03 -3.246999e-04 -5.164040e-05
-4.491525e+00 -4.830508e+00 -6.327157e-03 -1.061473e-03 -1.136956e-04 -6.327157e-03 -1.061473e-03 -1.136956e-04
-4.491525e+00 -4.661017e+00 -7.688284e-03 -1.224635e-03 -1.130556e-04 -7.688284e-03 -1.224635e-03 -1.130556e-04
-4.491525e+00 -4.491525e+00 -4.714378e-03 -6.766357e-04 -4.009961e-05 -4.714378e-03 -6.766357e-04 -4.009961e-05
-4.491525e+00 -4.322034e+00 9.786816e-04 3.228965e-04 7.296962e-05 9.786816e-04 3.228965e-04 7.296962e-05
-4.491525e+00 -4.152542e+00 6.377931e-03 1.258989e-03 1.667123e-04 6.377931e-03 1.258989e-03 1.667123e-04
-4.491525e+00 -3.983051e+00 8.736600e-03 1.633142e-03 1.844997e-04 8.736600e-03 1.633142e-03 1.844997e-04
-4.491525e+00 -3.813559e+00 6.924655e-03 1.214143e-03 1.023826e-04 6.924655e-03 1.214143e-03 1.023826e-04
-4.491525e+00 -3.644068e+00 1.826904e-03 1.444592e-04 -5.615762e-05 1.826904e-03 1.444592e-04 -5.615762e-05
-4.491525e+00 -3.474576e+00 -4.260109e-03 -1.134709e-03 -2.274098e-04 -4.260109e-03 -1.134709e-03 -2.274098e-04
-4.491525e+00 -3.305085e+00 -8.783142e-03 -2.085391e-03 -3.327928e-04 -8.783142e-03 -2.085391e-03 -3.327928e-04
-4.491525e+00 -3.135593e+00 -1.001884e-02 -2.297605e-03 -3.108104e-04 -1.001884e-02 -2.297605e-03 -3.108104e-04
-4.491525e+00 -2.966102e+00 -7.634581e-03 -1.639745e-03 -1.423016e-04 -7.634581e-03 -1.639745e-03 -1.423016e-04
-4.491525e+00 -2.796610e+00 -2.600812e-03 -2.860687e-04 1.402047e-04 -2.600812e-03 -2.860687e-04 1.402047e-04
-4.491525e+00 -2.627119e+00 3.364315e-03 1.368315e-03 4.610132e-04 3.364315e-03 1.368315e-03 4.610132e-04
-4.491525e+00 -2.457627e+00 8.493938e-03 2.853334e-03 7.228749e-04 8.493938e-03 2.853334e-03 7.228749e-04
-4.491525e+00 -2.288136e+00 1.152373e-02 3.768267e-03 8.331284e-04 1.152373e-02 3.768267e-03 8.331284e-04
-4.491525e+00 -2.118644e+00 1.194403e-02 3.877725e-03 7.258121e-04 1.194403e-02 3.877725e-03 7.258121e-04
-4.491525e+00 -1.949153e+00 9.955691e-03 3.140905e-03 3.740640e-04 9.955691e-03 3.140905e-03 3.740640e-04
-4.491525e+00 -1.779661e+00 6.234589e-03 1.682343e-03 -2.088503e-04 6.234589e-03 1.682343e-03 -2.088503e-04
-4.491525e+00 -1.610169e+00 1.637723e-03 -2.719894e-04 -9.780489e-04 1.637723e-03 -2.719894e-04 -9.780489e-04
-4.491525e+00 -1.440678e+00 -3.044015e-03 -2.466547e-03 -1.871292e-03 -3.044015e-03 -2.466547e-03 -1.871292e-03
