x_by_lambda_0 z_by_lambda_0 G_EJ_xx G_HJ_xx G_EJ_xy G_HJ_xy G_EJ_xz G_HJ_xz G_EJ_yx G_HJ_yx G_EJ_yy G_HJ_yy G_EJ_yz G_HJ_yz G_EJ_zx G_HJ_zx G_EJ_zy G_HJ_zy G_EJ_zz G_HJ_zz 
-5 2.08475 -0.000287186 1.75309e-21 -4.87411e-18 3.11583e-05 -0.00632483 -9.20091e-21 -4.87411e-18 -1.68432e-05 -0.0400873 -1.75309e-21 7.74569e-19 -7.51311e-05 -0.00615257 1.23603e-20 7.53473e-19 0.00010093 -0.0276614 0 
-5 2.25424 -0.00161309 2.70627e-22 -4.37214e-18 2.49257e-05 -0.00872027 -1.12266e-20 -4.37214e-18 -2.27158e-05 -0.0373144 -2.70627e-22 1.06793e-18 -9.16718e-05 -0.00809992 1.17773e-20 9.91954e-19 9.61692e-05 -0.0334757 0 
-5 2.42373 -0.00266765 -1.21523e-21 -3.62834e-18 1.71791e-05 -0.0110865 -1.26995e-20 -3.62834e-18 -2.71022e-05 -0.0322953 1.21523e-21 1.35771e-18 -0.0001037 -0.00961936 1.0506e-20 1.17803e-18 8.57883e-05 -0.0374523 0 
-5 2.59322 -0.00339103 -2.20068e-21 -2.88185e-18 1.12454e-05 -0.0126688 -1.31299e-20 -2.88185e-18 -2.92153e-05 -0.0269231 2.20068e-21 1.55148e-18 -0.000107214 -0.0104016 9.00867e-21 1.27383e-18 7.35614e-05 -0.0382613 0 
-5 2.76271 -0.0038073 -2.3322e-21 -2.2855e-18 9.46248e-06 -0.0125676 -1.20577e-20 -2.2855e-18 -2.85064e-05 -0.0224698 2.3322e-21 1.53909e-18 -9.84583e-05 -0.010157 7.57141e-21 1.24388e-18 6.18253e-05 -0.0347559 0 
-5 2.9322 -0.00390784 -1.56998e-21 -1.82956e-18 1.16438e-05 -0.0100728 -9.2433e-21 -1.82956e-18 -2.44636e-05 -0.0188474 1.56998e-21 1.23356e-18 -7.54773e-05 -0.00859809 6.14334e-21 1.05296e-18 5.01642e-05 -0.0264625 0 
-5 3.10169 -0.0035253 -2.3716e-22 -1.34738e-18 1.45536e-05 -0.00505158 -4.85346e-21 -1.34738e-18 -1.64902e-05 -0.0145275 2.3716e-22 6.1864e-19 -3.96315e-05 -0.00548436 4.35747e-21 6.71641e-19 3.55814e-05 -0.0140193 0 
-5 3.27119 -0.00232152 1.09144e-21 -6.18621e-19 1.30824e-05 0.00178078 4.46707e-22 -6.18621e-19 -4.17012e-06 -0.00737294 -1.09144e-21 -2.18082e-19 3.64764e-06 -0.000787643 1.77338e-21 9.64584e-20 1.44807e-05 0.000653159 0 
-5 3.44068 1.77536e-05 1.83392e-21 4.67469e-19 3.01861e-06 0.00887546 5.56954e-21 4.67469e-19 1.19565e-05 0.00383493 -1.83392e-21 -1.08693e-18 4.54788e-05 0.00504685 -1.74174e-21 -6.18061e-19 -1.42224e-05 0.0146119 0 
-5 3.61017 0.00341526 1.67541e-21 1.7743e-18 -1.57396e-05 0.0142263 9.26798e-21 1.7743e-18 2.94204e-05 0.0179036 -1.67541e-21 -1.74222e-18 7.56788e-05 0.0108865 -5.69286e-21 -1.33321e-18 -4.64857e-05 0.0246036 0 
