x_by_lambda_0 z_by_lambda_0 g_tm_full_log g_tm_refl_re g_te_full_log g_te_refl_re
1.449275e-01 3.057971e+00 -6.383091e+01 -5.930730e-04 -6.381944e+01 -5.926061e-04
1.449275e-01 3.173913e+00 -6.454015e+01 -2.692623e-04 -6.452842e+01 -2.696182e-04
1.449275e-01 3.289855e+00 -6.521837e+01 1.698997e-04 -6.520640e+01 1.689790e-04
1.449275e-01 3.405797e+00 -6.586830e+01 5.020850e-04 -6.585610e+01 5.011016e-04
1.449275e-01 3.521739e+00 -6.649230e+01 5.691703e-04 -6.647988e+01 5.686061e-04
1.449275e-01 3.637681e+00 -6.709245e+01 3.514783e-04 -6.707983e+01 3.515656e-04
1.449275e-01 3.753623e+00 -6.767058e+01 -2.950786e-05 -6.765777e+01 -2.887314e-05
1.449275e-01 3.869565e+00 -6.822830e+01 -3.777552e-04 -6.821531e+01 -3.769317e-04
1.449275e-01 3.985507e+00 -6.876705e+01 -5.226754e-04 -6.875390e+01 -5.220801e-04
1.449275e-01 4.101449e+00 -6.928812e+01 -4.019286e-04 -6.927481e+01 -4.018306e-04
1.449275e-01 4.217391e+00 -6.979267e+01 -8.720392e-05 -6.977921e+01 -8.760786e-05
1.449275e-01 4.333333e+00 -7.028174e+01 2.571171e-04 -7.026814e+01 2.564505e-04
1.449275e-01 4.449275e+00 -7.075628e+01 4.591416e-04 -7.074254e+01 4.585590e-04
1.449275e-01 4.565217e+00 -7.121713e+01 4.246903e-04 -7.120327e+01 4.244691e-04
1.449275e-01 4.681159e+00 -7.166510e+01 1.805975e-04 -7.165111e+01 1.808167e-04
1.449275e-01 4.797101e+00 -7.210088e+01 -1.435222e-04 -7.208678e+01 -1.430040e-04
1.449275e-01 4.913043e+00 -7.252513e+01 -3.835519e-04 -7.251093e+01 -3.830111e-04
1.449275e-01 5.028986e+00 -7.293847e+01 -4.235062e-04 -7.292417e+01 -4.232089e-04
1.449275e-01 5.144928e+00 -7.334144e+01 -2.511433e-04 -7.332704e+01 -2.512172e-04
1.449275e-01 5.260870e+00 -7.373455e+01 3.989730e-05 -7.372006e+01 3.951543e-05
1.449275e-01 5.376812e+00 -7.411829e+01 3.004833e-04 -7.410371e+01 3.000026e-04
1.449275e-01 5.492754e+00 -7.449309e+01 4.020300e-04 -7.447843e+01 4.016930e-04
1.449275e-01 5.608696e+00 -7.485936e+01 2.996094e-04 -7.484462e+01 2.995717e-04
1.449275e-01 5.724638e+00 -7.521748e+01 5.132097e-05 -7.520267e+01 5.158080e-05
1.449275e-01 5.840580e+00 -7.556781e+01 -2.141518e-04 -7.555294e+01 -2.137419e-04
1.449275e-01 5.956522e+00 -7.591069e+01 -3.639261e-04 -7.589575e+01 -3.635774e-04
