z_by_lambda_0 V_re V_im I_re I_im Z_rel_re Z_rel_im
-1.316646 2.253644e+01 7.416610e+00 -1.830154e-01 -4.919627e-02 -3.318039e-01 -1.837700e-02
-1.309136 2.143005e+01 1.060940e+01 -1.756017e-01 -7.514906e-02 -3.318039e-01 -1.837700e-02
-1.301627 1.987145e+01 1.363751e+01 -1.645088e-01 -9.998826e-02 -3.318039e-01 -1.837700e-02
-1.294118 1.788511e+01 1.643693e+01 -1.499033e-01 -1.231924e-01 -3.318039e-01 -1.837700e-02
-1.286608 1.550455e+01 1.894724e+01 -1.320259e-01 -1.442649e-01 -3.318039e-01 -1.837700e-02
-1.279099 1.277180e+01 2.111295e+01 -1.111876e-01 -1.627447e-01 -3.318039e-01 -1.837700e-02
-1.271589 9.736741e+00 2.288468e+01 -8.776408e-02 -1.782157e-01 -3.318039e-01 -1.837700e-02
-1.264080 6.456138e+00 2.422025e+01 -6.218958e-02 -1.903167e-01 -3.318039e-01 -1.837700e-02
-1.256571 2.992653e+00 2.508566e+01 -3.494884e-02 -1.987487e-01 -3.318039e-01 -1.837700e-02
-1.249061 -5.863547e-01 2.545593e+01 -6.568027e-03 -2.032827e-01 -3.318039e-01 -1.837700e-02
-1.241552 -4.210115e+00 2.531570e+01 2.239521e-02 -2.037651e-01 -3.318039e-01 -1.837700e-02
-1.234043 -7.805830e+00 2.465975e+01 5.136258e-02 -2.001218e-01 -3.318039e-01 -1.837700e-02
-1.226533 -1.130012e+01 2.349320e+01 7.974658e-02 -1.923615e-01 -3.318039e-01 -1.837700e-02
-1.219024 -1.462050e+01 2.183165e+01 1.069622e-01 -1.805765e-01 -3.318039e-01 -1.837700e-02
-1.211514 -1.769687e+01 1.970095e+01 1.324390e-01 -1.649421e-01 -3.318039e-01 -1.837700e-02
-1.204005 -2.046296e+01 1.713692e+01 1.556325e-01 -1.457144e-01 -3.318039e-01 -1.837700e-02
-1.196496 -2.285775e+01 1.418469e+01 1.760362e-01 -1.232268e-01 -3.318039e-01 -1.837700e-02
-1.188986 -2.482679e+01 1.089801e+01 1.931921e-01 -9.788365e-02 -3.318039e-01 -1.837700e-02
-1.181477 -2.632341e+01 7.338251e+00 2.067008e-01 -7.015389e-02 -3.318039e-01 -1.837700e-02
-1.173967 -2.730975e+01 3.573299e+00 2.162305e-01 -4.056221e-02 -3.318039e-01 -1.837700e-02
-1.166458 -2.775775e+01 -3.237252e-01 2.215249e-01 -9.679397e-03 -3.318039e-01 -1.837700e-02
-1.158949 -2.764980e+01 -4.275862e+00 2.224096e-01 2.188855e-02 -3.318039e-01 -1.837700e-02
-1.151439 -2.697927e+01 -8.203819e+00 2.187970e-01 5.351215e-02 -3.318039e-01 -1.837700e-02
-1.143930 -2.575088e+01 -1.202754e+01 2.106890e-01 8.455081e-02 -3.318039e-01 -1.837700e-02
-1.136421 -2.398071e+01 -1.566780e+01 1.981789e-01 1.143657e-01 -3.318039e-01 -1.837700e-02
-1.128911 -2.169609e+01 -1.904787e+01 1.814510e-01 1.423326e-01 -3.318039e-01 -1.837700e-02
-1.121402 -1.893521e+01 -2.209507e+01 1.607777e-01 1.678551e-01 -3.318039e-01 -1.837700e-02
-1.113892 -1.574656e+01 -2.474231e+01 1.365159e-01 1.903766e-01 -3.318039e-01 -1.837700e-02
-1.106383 -1.218802e+01 -2.692957e+01 1.091010e-01 2.093930e-01 -3.318039e-01 -1.837700e-02
-1.098874 -8.325942e+00 -2.860521e+01 7.903914e-02 2.244630e-01 -3.318039e-01 -1.837700e-02
-1.091364 -4.233847e+00 -2.972712e+01 4.689822e-02 2.352184e-01 -3.318039e-01 -1.837700e-02
-1.083855 8.895656e-03 -3.026380e+01 1.329730e-02 2.413728e-01 -3.318039e-01 -1.837700e-02
-1.076345 4.318610e+00 -3.019509e+01 -2.110516e-02 2.427285e-01 -3.318039e-01 -1.837700e-02
-1.068836 8.608935e+00 -2.951281e+01 -5.562403e-02 2.391821e-01 -3.318039e-01 -1.837700e-02
-1.061327 1.279254e+01 -2.822108e+01 -8.956094e-02 2.307280e-01 -3.318039e-01 -1.837700e-02
-1.053817 1.678287e+01 -2.633646e+01 -1.222183e-01 2.174598e-01 -3.318039e-01 -1.837700e-02
-1.046308 2.049593e+01 -2.388780e+01 -1.529134e-01 1.995706e-01 -3.318039e-01 -1.837700e-02
-1.038798 2.385201e+01 -2.091583e+01 -1.809927e-01 1.773502e-01 -3.318039e-01 -1.837700e-02
-1.031289 2.677739e+01 -1.747256e+01 -2.058450e-01 1.511806e-01 -3.318039e-01 -1.837700e-02
-1.023780 2.920591e+01 -1.362038e+01 -2.269152e-01 1.215302e-01 -3.318039e-01 -1.837700e-02
-1.016270 3.108044e+01 -9.430940e+00 -2.437161e-01 8.894542e-02 -3.318039e-01 -1.837700e-02
-1.008761 3.235420e+01 -4.983895e+00 -2.558394e-01 5.404068e-02 -3.318039e-01 -1.837700e-02
-1.001252 3.299184e+01 -3.653702e-01 -2.629649e-01 1.748730e-02 -3.318039e-01 -1.837700e-02
-0.993742 3.297035e+01 4.333665e+00 -2.648692e-01 -1.999934e-02 -3.318039e-01 -1.837700e-02
-0.986233 3.227974e+01 9.019169e+00 -2.614310e-01 -5.767363e-02 -3.318039e-01 -1.837700e-02
-0.978723 3.092342e+01 1.359589e+01 -2.526353e-01 -9.477433e-02 -3.318039e-01 -1.837700e-02
-0.971214 2.891838e+01 1.796926e+01 -2.385759e-01 -1.305398e-01 -3.318039e-01 -1.837700e-02
-0.963705 2.629502e+01 2.204735e+01 -2.194547e-01 -1.642235e-01 -3.318039e-01 -1.837700e-02
-0.956195 2.309675e+01 2.574278e+01 -1.955793e-01 -1.951091e-01 -3.318039e-01 -1.837700e-02
-0.948686 1.937937e+01 2.897452e+01 -1.673589e-01 -2.225259e-01 -3.318039e-01 -1.837700e-02
-0.941176 1.521005e+01 3.166968e+01 -1.352970e-01 -2.458628e-01 -3.318039e-01 -1.837700e-02
-0.933667 1.066622e+01 3.376510e+01 -9.998325e-02 -2.645820e-01 -3.318039e-01 -1.837700e-02
-0.926158 5.834110e+00 3.520879e+01 -6.208250e-02 -2.782305e-01 -3.318039e-01 -1.837700e-02
-0.918648 8.071811e-01 3.596113e+01 -2.232257e-02 -2.864514e-01 -3.318039e-01 -1.837700e-02
-0.911139 -4.315684e+00 3.599594e+01 1.851945e-02 -2.889919e-01 -3.318039e-01 -1.837700e-02
-0.903630 -9.432090e+00 3.530115e+01 5.963225e-02 -2.857107e-01 -3.318039e-01 -1.837700e-02
-0.896120 -1.443815e+01 3.387930e+01 1.001861e-01 -2.765820e-01 -3.318039e-01 -1.837700e-02
-0.888611 -1.923058e+01 3.174773e+01 1.393497e-01 -2.616986e-01 -3.318039e-01 -1.837700e-02
-0.881101 -2.370878e+01 2.893844e+01 1.763065e-01 -2.412712e-01 -3.318039e-01 -1.837700e-02
-0.873592 -2.777694e+01 2.549769e+01 2.102720e-01 -2.156265e-01 -3.318039e-01 -1.837700e-02
-0.866083 -3.134606e+01 2.148528e+01 2.405098e-01 -1.852021e-01 -3.318039e-01 -1.837700e-02
-0.858573 -3.433583e+01 1.697355e+01 2.663477e-01 -1.505395e-01 -3.318039e-01 -1.837700e-02
-0.851064 -3.667644e+01 1.204611e+01 2.871918e-01 -1.122746e-01 -3.318039e-01 -1.837700e-02
-0.843554 -3.831014e+01 6.796338e+00 3.025403e-01 -7.112669e-02 -3.318039e-01 -1.837700e-02
-0.836045 -3.919261e+01 1.325615e+00 3.119950e-01 -2.788476e-02 -3.318039e-01 -1.837700e-02
-0.828536 -3.929404e+01 -4.258584e+00 3.152707e-01 1.660721e-02 -3.318039e-01 -1.837700e-02
-0.821026 -3.860003e+01 -9.844785e+00 3.122032e-01 6.146650e-02 -3.318039e-01 -1.837700e-02
