z_by_lambda_0 rho_by_lambda_0 rel_err_db_tm rel_err_db_te abs_ref_tm abs_ref_te
3.623188e-01 1.033934e+02 -3.928852e+01 -6.019880e+01 2.428194e-05 2.519490e-05
3.623188e-01 1.181582e+02 -3.887117e+01 -5.997908e+01 2.139669e-05 2.209864e-05
3.623188e-01 1.350314e+02 -3.850536e+01 -5.978688e+01 1.883772e-05 1.937715e-05
3.623188e-01 1.543142e+02 -3.818482e+01 -5.961874e+01 1.657206e-05 1.698640e-05
3.623188e-01 1.763505e+02 -3.790402e+01 -5.947166e+01 1.456912e-05 1.488726e-05
3.623188e-01 2.015338e+02 -3.765806e+01 -5.934299e+01 1.280075e-05 1.304494e-05
3.623188e-01 2.303132e+02 -3.744266e+01 -5.923043e+01 1.124127e-05 1.142864e-05
3.623188e-01 2.632024e+02 -3.725405e+01 -5.913196e+01 9.867348e-06 1.001108e-05
3.623188e-01 3.007883e+02 -3.708891e+01 -5.904581e+01 8.657963e-06 8.768198e-06
3.623188e-01 3.437414e+02 -3.694434e+01 -5.897045e+01 7.594205e-06 7.678731e-06
3.623188e-01 3.928284e+02 -3.681778e+01 -5.890452e+01 6.659152e-06 6.723954e-06
3.623188e-01 4.489251e+02 -3.670699e+01 -5.884683e+01 5.837702e-06 5.887374e-06
3.623188e-01 5.130326e+02 -3.661002e+01 -5.879637e+01 5.116412e-06 5.154481e-06
3.623188e-01 5.862947e+02 -3.652514e+01 -5.875222e+01 4.483344e-06 4.512519e-06
3.623188e-01 6.700188e+02 -3.645085e+01 -5.871359e+01 3.927921e-06 3.950275e-06
3.623188e-01 7.656988e+02 -3.638583e+01 -5.867980e+01 3.440779e-06 3.457907e-06
3.623188e-01 8.750422e+02 -3.632893e+01 -5.865023e+01 3.013649e-06 3.026771e-06
3.623188e-01 1.000000e+03 -3.627913e+01 -5.862436e+01 2.639233e-06 2.649285e-06

7.246377e-01 1.000000e-01 -1.208602e+02 -1.352321e+02 4.226787e-04 4.089258e-04
7.246377e-01 1.142802e-01 -1.211585e+02 -1.355927e+02 4.222325e-04 4.089587e-04
7.246377e-01 1.305997e-01 -1.215449e+02 -1.360586e+02 4.216508e-04 4.090016e-04
7.246377e-01 1.492496e-01 -1.220418e+02 -1.366541e+02 4.208930e-04 4.090573e-04
7.246377e-01 1.705627e-01 -1.226717e+02 -1.373989e+02 4.199063e-04 4.091296e-04
7.246377e-01 1.949194e-01 -1.234438e+02 -1.382865e+02 4.186228e-04 4.092232e-04
7.246377e-01 2.227543e-01 -1.243255e+02 -1.392317e+02 4.169555e-04 4.093442e-04
7.246377e-01 2.545641e-01 -1.251672e+02 -1.399804e+02 4.147930e-04 4.094999e-04
7.246377e-01 2.909163e-01 -1.256264e+02 -1.401238e+02 4.119938e-04 4.096994e-04
7.246377e-01 3.324598e-01 -1.253234e+02 -1.394875e+02 4.083802e-04 4.099536e-04
7.246377e-01 3.799357e-01 -1.243079e+02 -1.384296e+02 4.037313e-04 4.102749e-04
7.246377e-01 4.341913e-01 -1.230500e+02 -1.374468e+02 3.977768e-04 4.106768e-04
7.246377e-01 4.961948e-01 -1.219487e+02 -1.368036e+02 3.901929e-04 4.111724e-04
7.246377e-01 5.670524e-01 -1.211231e+02 -1.364810e+02 3.806023e-04 4.117721e-04
