f abs_E_z
9.961633e+06 8.231040e-02
1.007718e+07 8.357803e-02
1.019406e+07 8.482908e-02
1.031230e+07 8.605597e-02
1.043191e+07 8.725107e-02
1.055291e+07 8.840669e-02
1.067531e+07 8.951520e-02
1.079914e+07 9.056899e-02
1.092439e+07 9.156055e-02
1.105110e+07 9.248251e-02
1.117928e+07 9.332768e-02
1.130895e+07 9.408911e-02
1.144012e+07 9.476016e-02
1.157282e+07 9.533453e-02
1.170705e+07 9.580634e-02
1.184284e+07 9.617025e-02
1.198020e+07 9.642146e-02
1.211916e+07 9.655588e-02
1.225973e+07 9.657017e-02
1.240193e+07 9.646191e-02
1.254578e+07 9.622967e-02
1.269129e+07 9.587314e-02
1.283850e+07 9.539332e-02
1.298741e+07 9.479262e-02
1.313805e+07 9.407507e-02
1.329044e+07 9.324645e-02
1.344459e+07 9.231451e-02
1.360053e+07 9.128914e-02
1.375828e+07 9.018253e-02
1.391787e+07 8.900939e-02
1.407930e+07 8.778705e-02
1.424260e+07 8.653560e-02
1.440780e+07 8.527788e-02
1.457491e+07 8.403946e-02
1.474397e+07 8.284840e-02
1.491498e+07 8.173487e-02
1.508798e+07 8.073056e-02
1.526298e+07 7.986779e-02
1.544002e+07 7.917846e-02
1.561910e+07 7.869260e-02
1.580027e+07 7.843696e-02
1.598353e+07 7.843332e-02
1.616892e+07 7.869710e-02
1.635647e+07 7.923611e-02
1.654618e+07 8.004975e-02
1.673810e+07 8.112877e-02
1.693224e+07 8.245545e-02
1.712864e+07 8.400436e-02
1.732731e+07 8.574340e-02
1.752829e+07 8.763511e-02
1.773160e+07 8.963796e-02
1.793727e+07 9.170774e-02
1.814532e+07 9.379871e-02
1.835578e+07 9.586471e-02
1.856869e+07 9.786006e-02
1.878407e+07 9.974042e-02
1.900194e+07 1.014634e-01
1.922234e+07 1.029895e-01
1.944530e+07 1.042822e-01
1.967085e+07 1.053092e-01
1.989901e+07 1.060427e-01
2.012981e+07 1.064602e-01
2.036330e+07 1.065451e-01
2.059949e+07 1.062877e-01
2.083842e+07 1.056863e-01
2.108012e+07 1.047475e-01
2.132463e+07 1.034881e-01
2.157197e+07 1.019357e-01
2.182218e+07 1.001297e-01
2.207529e+07 9.812302e-02
2.233134e+07 9.598219e-02
2.259036e+07 9.378790e-02
2.285239e+07 9.163426e-02
2.311745e+07 8.962661e-02
2.338559e+07 8.787730e-02
2.365683e+07 8.649893e-02
2.393123e+07 8.559514e-02
2.420880e+07 8.524961e-02
2.448960e+07 8.551526e-02
2.477365e+07 8.640602e-02
2.506100e+07 8.789325e-02
2.535168e+07 8.990773e-02
2.564573e+07 9.234654e-02
2.594319e+07 9.508260e-02
2.624410e+07 9.797489e-02
2.654850e+07 1.008777e-01
2.685644e+07 1.036483e-01
2.716794e+07 1.061526e-01
2.748306e+07 1.082695e-01
2.780183e+07 1.098951e-01
2.812431e+07 1.109452e-01
2.845052e+07 1.113584e-01
2.878051e+07 1.110997e-01
2.911433e+07 1.101636e-01
2.945203e+07 1.085777e-01
2.979364e+07 1.064069e-01
3.013921e+07 1.037572e-01
3.048879e+07 1.007790e-01
3.084243e+07 9.766789e-02
3.120017e+07 9.466135e-02
3.156206e+07 9.202681e-02
3.192814e+07 9.003823e-02
3.229847e+07 8.893940e-02
3.267310e+07 8.889946e-02
3.305207e+07 8.997381e-02
3.343544e+07 9.208627e-02
3.382325e+07 9.504040e-02
3.421556e+07 9.855360e-02
3.461243e+07 1.022994e-01
3.501389e+07 1.059454e-01
3.542002e+07 1.091815e-01
3.583085e+07 1.117389e-01
3.624645e+07 1.134032e-01
3.666687e+07 1.140246e-01
3.709216e+07 1.135272e-01
3.752239e+07 1.119182e-01
3.795761e+07 1.092987e-01
3.839787e+07 1.058732e-01
3.884325e+07 1.019582e-01
3.929379e+07 9.798014e-02
3.974955e+07 9.445331e-02
4.021060e+07 9.192042e-02
4.067700e+07 9.084679e-02
4.114881e+07 9.149027e-02
4.162609e+07 9.380749e-02
4.210891e+07 9.745473e-02
4.259732e+07 1.018801e-01
4.309140e+07 1.064491e-01
4.359122e+07 1.105490e-01
4.409683e+07 1.136569e-01
4.460830e+07 1.153800e-01
4.512571e+07 1.154812e-01
4.564912e+07 1.139015e-01
4.617860e+07 1.107822e-01
4.671422e+07 1.064871e-01
4.725605e+07 1.016162e-01
4.780417e+07 9.698770e-02
4.835865e+07 9.354316e-02
4.891955e+07 9.212901e-02
4.948696e+07 9.318959e-02
5.006096e+07 9.655034e-02
5.064161e+07 1.014688e-01
5.122900e+07 1.069028e-01
5.182320e+07 1.117947e-01
5.242429e+07 1.152588e-01
5.303235e+07 1.166793e-01
5.364747e+07 1.157664e-01
5.426972e+07 1.126003e-01
5.489919e+07 1.076752e-01
5.553596e+07 1.019269e-01
5.618012e+07 9.668987e-02
5.683174e+07 9.345963e-02
5.749093e+07 9.336392e-02
5.815776e+07 9.655941e-02
5.883233e+07 1.020913e-01
5.951472e+07 1.083600e-01
6.020502e+07 1.137269e-01
6.090333e+07 1.169011e-01
6.160975e+07 1.171205e-01
6.232435e+07 1.142479e-01
6.304724e+07 1.088486e-01
6.377852e+07 1.022468e-01
6.451828e+07 9.644629e-02
6.526662e+07 9.364029e-02
6.602365e+07 9.514308e-02
6.678945e+07 1.004480e-01
6.756413e+07 1.075050e-01
6.834780e+07 1.138513e-01
6.914056e+07 1.174972e-01
6.994251e+07 1.173249e-01
7.075377e+07 1.132663e-01
7.157444e+07 1.064288e-01
7.240462e+07 9.913275e-02
7.324443e+07 9.449842e-02
7.409399e+07 9.499277e-02
7.495340e+07 1.005283e-01
7.582277e+07 1.084114e-01
7.670223e+07 1.151998e-01
7.759190e+07 1.182545e-01
7.849188e+07 1.163833e-01
7.940229e+07 1.101055e-01
8.032327e+07 1.018094e-01
8.125494e+07 9.548420e-02
8.219740e+07 9.497016e-02
8.315080e+07 1.008081e-01
8.411526e+07 1.095306e-01
8.509090e+07 1.165166e-01
8.607786e+07 1.184849e-01
8.707627e+07 1.144363e-01
8.808626e+07 1.060170e-01
8.910797e+07 9.756846e-02
9.014152e+07 9.466641e-02
9.118706e+07 9.972052e-02
9.224473e+07 1.091425e-01
9.331467e+07 1.168618e-01
9.439702e+07 1.185232e-01
9.549192e+07 1.130847e-01
9.659952e+07 1.033405e-01
9.771997e+07 9.566428e-02
9.885341e+07 9.645204e-02
1.000000e+08 1.052620e-01
